Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
Cobalt Dickens,8/24/2018,Also known as the Silent Librarian. Believed to be associated with the Mabna Institute.,This threat actor targets universities around the world for espionage purposes.,,"Australia, Canada, China, Israel, Japan, Switzerland, Turkey, United Kingdom, United States",Iran (Islamic Republic of),Espionage,Civil society,https://www.secureworks.com/blog/back-to-school-cobalt-dickens-targets-universities,,,Secureworks,Mabna Institute
Compromise of computer networks associated with the 2018 Pyeongchang Winter Olympics,2/12/2018,,"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",,Republic of Korea,Russian Federation,Sabotage,Civil society,http://blog.talosintelligence.com/2018/02/olympic-destroyer.html,https://www.washingtonpost.com/world/national-security/russian-spies-hacked-the-olympics-and-tried-to-make-it-look-like-north-korea-did-it-us-officials-say/2018/02/24/44b5468e-18f2-11e8-92c9-376b4fe57ff7_story.html,https://securelist.com/olympicdestroyer-is-here-to-trick-the-industry/84295/,"Cisco Talos, Kaspersky, United States government",
Thrip,6/19/2018,Also known as Billbug and Lotus Blossom.,"This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",,United States,China,Military Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,https://www.reuters.com/article/us-china-usa-cyber/china-based-campaign-breached-satellite-defense-companies-symantec-idUSKBN1JF2X0,,Symantec,Lotus Blossom
Targeting of Westinghouse Electric Corporation,10/4/2018,Believed to be the work of??APT 28,"A threat actor targeted Westinghouse Electric Company, a nuclear power developer, for espionage purposes. One of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), was indicted by the U.S. Justice Department.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,Westinghouse Electric Company,Russian Federation,Military Espionage,Private sector,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,,DoJ,APT 28
UK targeting of the Islamic State group,4/12/2018,Believed to be associated with the U.S. targeting of the Islamic State Group.,"The United Kingdom???s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a ???major offensive cyber campaign??? directed at the Islamic State, with the purpose of disrupting the group???s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",,Islamic State Group,United Kingdom,Sabotage,Civil society,https://www.gchq.gov.uk/sites/default/files/Director%20GCHQ%20speech%20CyberUK%202018.pdf,https://www.bbc.com/news/technology-43738953,,UK self admitted,
Raspite,8/2/2018,,This threat actor targets entities that operate industrial control systems in the electric utility sector.,,United States,Unknown,Infrastructure Espionage,Private sector,https://www.dragos.com/blog/20180802Raspite.html,,,Dragos,
Attempt to compromise Ukraine's judicial system,12/4/2018,Believed to be the work of a Russian hacking group.,Ukraine???s security agency thwarted an attack attempting to target the country???s court system.,,Ukraine,Russian Federation,Political Espionage,Government,https://www.apnews.com/6eb40bb43cc74c6eb5b9e386ee62aa20,https://www.rferl.org/a/ukraine-cyberattack-thwarted/29638290.html,,SBU,BlackEnergy?
Targeting of North Korean defectors and journalists,5/15/2018,Believed to be associated with the Lazarus Group,"A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",,South Korea,Korea (Democratic People's Republic of),Civil Espionage,Civil society,https://securingtomorrow.mcafee.com/mcafee-labs/north-korean-defectors-journalists-targeted-using-social-networks-kakaotalk/,https://www.cyberscoop.com/new-hacking-campaign-targets-north-korean-defectors-in-south-korea/,https://securingtomorrow.mcafee.com/mcafee-labs/malware-on-google-play-targets-north-korean-defectors/,McAfee,Lazarus Group
Targeting of Omar Abdulaziz,10/1/2018,,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",,Omar Abdulaziz,Saudi Arabia,Civil Espionage,Civil society,https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,,CitizenLab,malware by NSO group
APT 37,2/20/2018,Also known as Reaper and Group 123,"This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",,"Republic of Korea, Japan, Vietnam",Korea (Democratic People's Republic of),Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2018/02/apt37-overlooked-north-korean-actor.html,https://blog.talosintelligence.com/2018/01/korea-in-crosshairs.html,https://researchcenter.paloaltonetworks.com/2018/04/unit42-reaper-groups-updated-mobile-arsenal/,"EST Security, Palo Alto Networks, FireEye, Cisco Talos",APT 37
Targeting of German critical infrastructure sectors,6/7/2018,Believed to be the work of Crouching Yeti,"A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany???s domestic intelligence agency accused Russia of controlling the targeting campaign.",Denouncement   https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,Germany,Russian Federation,Infrastructure Espionage,Private sector,https://www.verfassungsschutz.de/embed/broschuere-2018-06-bfv-cyber-brief-2018-01-neu.pdf,https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,,BfV,Crouching Yeti
Compromise of Mongolian government data center,6/13/2018,,A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.,,Mongolia,China,Political Espionage,Government,https://www.cyberscoop.com/apt27-mongolia-kaspersky/,https://securelist.com/luckymouse-hits-national-data-center/86083/,,Kaspersky,APT27
Gorgon Group,8/2/2018,,This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.,,"United States, Spain, Russian Federation, United Kingdom",Unknown,Political Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/08/unit42-gorgon-group-slithering-nation-state-cybercrime/,,,Palo Alto Networks,
Targeting of the Parliament of Australia,12/7/2018,Unknown,"An attack targeted computer systems in both houses of the Parliament of Australia. The systems of the ruling Liberal-National Coalition Party and Labor, the main opposition party, were compromised, but there is no evidence of electoral interference.",,Australia,Unknown,Political Espionage,Government,https://www.wsj.com/articles/iran-blamed-for-cyberattack-on-australias-parliament-11550736796,http://fortune.com/2019/02/18/australia-parliament-hack/,https://www.nytimes.com/2019/02/07/world/australia/cyberattack-parliament-hack.html,N/A,
Alleged Russian compromise of networking equipment,4/16/2018,Believed to be associated with Sandworm. Also known as VPNFilter.,"The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.",Sanctions   https://home.treasury.gov/news/press-releases/sm0410,"Worldwide, United States, United Kingdom, Ukraine",Russian Federation,Sabotage,Private sector,https://www.us-cert.gov/ncas/alerts/TA18-106A,https://blog.talosintelligence.com/2018/05/VPNFilter.html,https://arstechnica.com/information-technology/2018/06/vpnfilter-malware-infecting-50000-devices-is-worse-than-we-thought/,"NCSC, DHS, Cisco Talos",Sandworm
Compromise of an air-gapped German government network,2/28/2018,,"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.",Denouncement   https://www.reuters.com/article/us-germany-security/moscow-likely-behind-hack-on-german-govt-spy-chief-says-idUSKBN1HI19D,Germany,Russian Federation,Political Espionage,Government,http://www.dw.com/en/germany-admits-hackers-infiltrated-federal-ministries-russian-group-suspected/a-42775517,https://twitter.com/RidT/status/969585432567611393,http://www.spiegel.de/international/germany/cyber-espionage-likely-from-russia-targets-german-government-a-1196520.html,German government,APT 28
RedAlpha,6/26/2018,"Believed to use similar infrastructure as the NetTraveler, Icefog, and APT 17 threat actors","This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",,India,China,Civil Espionage,Civil society,https://www.recordedfuture.com/redalpha-cyber-campaigns/,,,"Recorded Future, Kaspersky",APT 17
Targeting of congressional campaigns for the 2018 U.S. midterm elections,7/19/2018,Believed to be the work of APT 28,A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.,,Candidates for the U.S. Congress,Russian Federation,Political Espionage,Government,https://www.youtube.com/watch?v=NlCJokZcwJA,https://www.cyberscoop.com/microsoft-reveals-first-known-russian-hacking-attempt-aimed-2018-midterms/,,"Microsoft, United States government",APT 28
Targeting of South Korean actors prior to meeting of Donald J. Trump and Kim Jong-un,6/5/2018,Believed to be the work of TempTick??and Turla,"Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",,South Korea,"China, Russian Federation",Political Espionage,Government,https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.cyberscoop.com/chinese-russian-hacking-groups-spy-south-korea-amid-u-s-north-korea-peace-talks/,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html,FireEye,Turla
Targeting of Yahya Assiri,8/1/2018,,"A threat actor targeted Yahya Assiri, a critic of the Kingdom of Saudi Arabia and a researcher at Amnesty International, for espionage purposes. The threat actor used the Pegasus tool, created by the NSO Group.",,Yahya Assiri,Saudi Arabia,Civil Espionage,Civil society,https://www.amnesty.org/en/latest/research/2018/08/amnesty-international-among-targets-of-nso-powered-campaign/,,,Amnesty International,malware by NSO group
Indictment of officials from the Mabna Institute,3/28/2018,,"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.",Criminal charges   https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,"United States, United Nations, UNICEF, Australia, Canada, China, Denmark, Germany, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, Norway, Poland, Singapore, Republic of Korea, Spain, Sweden, Switzerland, Turkey, United Kingdom",Iran (Islamic Republic of),Espionage,"Government, Civil society, Private sector",https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,https://home.treasury.gov/news/press-releases/sm0332,,DoJ,Mabna Institute
Rancor,6/26/2018,Believed to use similar tools as DragonOK,"This threat actor uses spear-phishing techniques to target political organizations in Southeast Asia, for the purpose of espionage.",,"Singapore, Cambodia",China,Political Espionage,"Government, Civil society",https://researchcenter.paloaltonetworks.com/2018/06/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/,https://www.securityweek.com/rancor-cyber-espionage-group-uncovered,,Palo Alto Networks,DragonOK
"Compromise of SingHealth, a large health-care provider in Singapore",7/20/2018,Believed to be the work of Whitefly.??,"A threat actor compromises the networks of SingHealth, the largest health-care provider in Singapore. Personal data of over 1.5 million patients was compromised, including the pharmaceutical prescriptions of 160,000 people.",,SingHealth,Unknown,Misc Espionage,Private sector,https://www.reuters.com/article/us-singapore-cyberattack/singapore-disconnects-healthcare-computers-from-the-internet-after-cyber-attack-idUSKBN1KE15X,https://www.straitstimes.com/politics/parliament-singhealth-attack-due-to-apt-group-typically-linked-to-foreign-governments-says,,N/A,
Targeting of organizations associated with trade activity with China,8/16/2018,,"A threat actor is targeting multiple organizations with trade ties to China, including those connected with China???s Belt and Road Initiative. The actor also targets organizations in advance of officials??? meetings with Chinese trade officials.",,"United States, Kenya, Mongolia, Brazil",China,Commercial Espionage,"Government, Private sector",https://www.recordedfuture.com/chinese-cyberespionage-operations/,,,Recorded Future,
APT 39,12/12/2018,Believed to be connected to the Iranian government.,"This threat actor, operating since November 2014, focuses on the Middle East. It mainly targets the telecommunications industry, and also targets the travel industry and supporting IT firms, and the high-tech industry.",,"Saudi Arabia, Egypt, Turkey, Iraq, Spain, Norway, Australia, South Korea",Iran (Islamic Republic of),Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2019/01/apt39-iranian-cyber-espionage-group-focused-on-personal-information.html,https://securityaffairs.co/wordpress/80450/apt/iran-apt39-cyberespionage.html,,FireEye,
TempTick,6/5/2018,Believed to be responsible for the targeting of South Korean actors prior to the meeting of Donald J. Trump and Kim Jong-un.,"This threat actor targets organizations in the finance, defense, aerospace, technology, health-care, and automotive sectors and media organizations in East Asia for the purpose of espionage. This threat actor is also known for targeting a South Korean company that produces USB sticks generally used to transfer data to air-gapped networks.",,"South Korea, Japan",China,Espionage,"Government, Private sector",https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html,https://researchcenter.paloaltonetworks.com/2018/06/unit42-tick-group-weaponized-secure-usb-drives-target-air-gapped-critical-systems/,"FireEye, Palo Alto Networks",
Indictment of APT 3 threat actors,11/27/2017,,"The U.S. Department of Justice indicted three members of Boyusec, a China-based internet security firm, on charges including conspiring to commit computer fraud and abuse and conspiring to commit trade-secret theft. The victims included Moody???s Analytics, Siemens, and Trimble. Though not mentioned in the indictment, Boyusec is believed to work on behalf of China???s Ministry of State Security.",Denouncement   https://www.justice.gov/opa/pr/us-charges-three-chinese-hackers-who-work-internet-security-firm-hacking-three-corporations,"Moody's Analytics, Siemens, Trimble",China,Commercial Espionage,Private sector,https://www.justice.gov/opa/pr/us-charges-three-chinese-hackers-who-work-internet-security-firm-hacking-three-corporations,https://arstechnica.com/tech-policy/2017/11/security-firm-was-front-for-advanced-chinese-hacking-operation-feds-say/,,DoJ,APT 3
APT 10,4/4/2017,"Also known as Cloud Hopper, Red Apollo, CNVX, Stone Panda, MenuPass, and POTASSIUM.??Believed to be a part of the Tianjin bureau of the Chinese Ministry of State Security.",This threat actor targets managed information technology service providers to access client information for espionage purposes. APT 10 has been active since at least 2009.,,"Japan, United States, United Kingdom, India, Canada, Brazil, South Africa, Australia, Thailand, South Korea, France, Switzerland, Sweden, Finland, Norway, New Zealand",China,Espionage,"Private sector, Government",https://www.pwc.co.uk/cyber-security/pdf/cloud-hopper-report-final-v4.pdf,http://baesystemsai.blogspot.com/2017/04/apt10-operation-cloud-hopper_3.html,https://www.fireeye.com/blog/threat-research/2017/04/apt10_menupass_grou.html,"PwC, BAE Systems, NCSC, FireEye, CrowdStrike",APT 10
Compromise of Kaspersky Labs,10/10/2017,Believed to be the work of the same threat actors who used the??Duqu 2.0 tool.??,"A threat actor, believed to be the Israeli government, compromised Kaspersky Labs, a Russia-based cybersecurity company. The compromise of Kaspersky allegedly led Israeli intelligence to tip off U.S. officials that a former contractor had classified data from the National Security Agency on his home computer.",,Kaspersky Labs,Israel,Political Espionage,Private sector,https://www.nytimes.com/2017/10/10/technology/kaspersky-lab-israel-russia-hacking.html?_r=0,https://www.washingtonpost.com/world/national-security/israel-hacked-kaspersky-then-tipped-the-nsa-that-its-tools-had-been-breached/2017/10/10/d48ce774-aa95-11e7-850e-2bdd1236be5d_story.html,,Israeli government self admitted,Duqu 2.0
APT 34,12/7/2017,Possibly linked to OilRig,"This threat actor targets organizations in the financial, energy, government, chemical, and telecommunications sectors worldwide for the purpose of espionage.",,,Iran (Islamic Republic of),Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2017/12/targeted-attack-in-middle-east-by-apt34.html,https://www.wired.com/story/apt-34-iranian-hackers-critical-infrastructure-companies/,,FireEye,APT 34
Targeting of the government of Belarus,9/28/2017,Possibly linked to NetTraveler,"A threat actor targeted the government of Belarus for espionage purposes, using a tool known as Travle or PYLOT, which is believed to be an update of malware used by NetTraveler.",,Belarus,Unknown,Political Espionage,Government,https://researchcenter.paloaltonetworks.com/2017/09/unit42-threat-actors-target-government-belarus-using-cmstar-trojan/,https://securelist.com/travle-aka-pylot-backdoor-hits-russian-speaking-targets/83455/,,N/A,
Targeting of Chinese-language news websites,7/5/2017,Believed to be the work of APT 17,"A threat actor targeted the China Digital Times, a civil-society and news organization based outside China that publishes English- and Chinese-language content, using phishing techniques with the goal of compromising its network.",,United States,China,Civil Espionage,Civil society,https://citizenlab.ca/2017/07/insider-information-an-intrusion-campaign-targeting-chinese-language-news-sites/,https://401trg.com/burning-umbrella/,,"CitizenLab, 401TRG",APT 17
Attempted compromise of email accounts associated with the UK Parliament,6/25/2017,,"A threat actor attempted to gain access to email accounts associated with members and other staffers of the British Parliament. The incident, originally believed to be the work of Russian or North Korean actors, was later attributed to Iran.",,UK Parliament,Iran (Islamic Republic of),Political Espionage,Government,https://www.theguardian.com/politics/2017/jun/24/cyber-attack-parliament-email-access,https://www.thetimes.co.uk/article/iran-attacks-9-000-email-accounts-in-parliament-w5mr836cg,https://www.theguardian.com/world/2017/oct/14/iran-to-blame-for-cyber-attack-on-mps-emails-british-intelligence,United Kingdom government,
CopyKittens,7/25/2017,,"This threat actor targets government institutions, universities, defense contractors, and large IT companies for the purpose of espionage.",,"Israel, Saudi Arabia, United States, Jordan, Germany",Iran (Islamic Republic of),Espionage,"Government, Private sector, Civil society",http://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,http://blog.trendmicro.com/copykittens-exposed-clearsky-trend-micro/,https://s3-eu-west-1.amazonaws.com/minervaresearchpublic/CopyKittens/CopyKittens.pdf,"ClearSky, TrendMicro, Minerva Labs",
Compromise of the Czech foreign minister's computer,1/31/2017,APT 28,"A threat actor compromised the computer networks of the Ministry of Foreign Affairs of the Czech Republic, including those used by the foreign minister and close aides.",,Czech Republic,Russian Federation,Political Espionage,Government,https://www.nytimes.com/2017/01/31/world/europe/czech-government-suspects-foreign-power-in-hacking-of-its-email.html?_r=1,http://neovlivni.cz/bleskova-zprava-kdosi-napadl-ucty-ministerstva-zahranici/,https://www.reuters.com/article/us-czech-security-russia/czech-security-service-says-russia-behind-cyber-attacks-on-ministry-idUSKBN1O21BN,BIS,APT 28
Sowbug,11/7/2017,,This threat actor targets government organizations with a foreign policy role primarily in Latin America for espionage purposes. The threat actor uses the tools Felismus and Starloader.,,"Argentina, Brazil, Peru, Ecuador, Brunei, Malaysia",,Political Espionage,Government,https://www.symantec.com/connect/blogs/sowbug-cyber-espionage-group-targets-south-american-and-southeast-asian-governments,https://www.cyberscoop.com/previously-unknown-cyber-espionage-group-successfully-hacked-south-america-since-2015/,,N/A,
Targeting of U.S. electric companies,10/10/2017,,A threat actor targeted U.S. electric companies with spear-phishing emails in an attempt to gain access to internal networks.,,United States,Korea (Democratic People's Republic of),Infrastructure Espionage,,https://www.fireeye.com/blog/threat-research/2017/10/north-korean-actors-spear-phish-us-electric-companies.html,,,FireEye,
"Compromise of Qatari website, leading to diplomatic rift",7/16/2017,,"Qatar claims??the website of the Qatar News Agency was compromised by an unknown actor, who??posted false remarks attributed to the Emir of Qatar that expressed support for Iran, Israel, Hezbollah and Hamas. The Washington Post reports??that U.S. intelligence officials have identified the unknown actor as the United Arab Emirates.",Denouncement   https://www.reuters.com/article/us-gulf-qatar-emirates-statement/qatar-accuses-uae-of-hack-that-sparked-gulf-crisis-idUSKBN1A21H8,Qatar News Agency,United Arab Emirates,Defacement,Government,https://www.washingtonpost.com/world/national-security/uae-hacked-qatari-government-sites-sparking-regional-upheaval-according-to-us-intelligence-officials/2017/07/16/00c46e54-698f-11e7-8eb5-cbccc2e7bfbf_story.html?utm_term=.1fed4b000ad2,http://www.aljazeera.com/news/2017/05/cyberattack-qatar-puts-fake-news-focus-170525190113354.html,https://motherboard.vice.com/en_us/article/8x9xmk/the-hack-that-caused-a-crisis-in-the-middle-east-was-easy,US Intelligence,
Targeting of the citizen journalism website Bellingcat,11/2/2017,Believed to be the work of APT 28,"A threat actor attempted to compromise Bellingcat, a citizen journalism website that conducts investigations, including about Russian involvement in the Syrian and Ukrainian conflicts.",,Bellingcat,Russian Federation,Civil Espionage,Civil society,https://www.threatconnect.com/blog/fancy-bear-leverages-blogspot/,,,ThreatConnect,APT 28
WannaCry,6/14/2017,Believed to be the work of the Lazarus Group.,"A threat actor used a tool called WannaCry to encrypt data in compromised networks, and intended to provide the victims with the??decryption key only after a ransom had been paid. The threat actors used an exploit, called EternalBlue--first discovered by the U.S. National Security Agency--to propagate WannaCry in organizations using the Windows operating system.??On December 19, 2017, the United States, Australia, Canada, Japan, and the United Kingdom??issued statements accusing North Korea of being responsible for WannaCry.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.",Denouncement   https://www.wsj.com/articles/its-official-north-korea-is-behind-wannacry-1513642537,"FedEx, UK National Health Service, Telefonica, Deutsche Bahn, PetroChina, Hitachi, Renault, Nissan, Sberbank",Korea (Democratic People's Republic of),Data destruction,"Private sector, Government",https://www.washingtonpost.com/world/national-security/the-nsa-has-linked-the-wannacry-computer-worm-to-north-korea/2017/06/14/101395a2-508e-11e7-be25-3a519335381c_story.html,http://www.bbc.com/news/technology-40297493,https://www.symantec.com/connect/blogs/wannacry-ransomware-attacks-show-strong-links-lazarus-group,"NSA, NCSC, Symantec, DoJ, GCSB, Japanese government, Australian government",Lazarus Group
APT 33,9/20/2017,Also known as Magnallium and Elfin. Suspected to be linked to the Shamoon malware attacks in 2018.,"This threat actor is an Iranian state-sponsored APT that targets private-sector entities in the aviation, energy, and petrochemical sectors for the purpose of espionage. It first became active in late 2015 or early 2016, and has been involved in a three-year campaign against multiple firms in the United States and Saudi Arabia. On December 19, 2018, McAfee attributed the 2016 and 2017 Shamoon wiper malware attacks on several companies in the Middle East and Europe to APT 33.",,"United States, Saudi Arabia, South Korea",Iran (Islamic Republic of),Espionage,Private sector,https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html,https://dragos.com/blog/20180621Magnallium.html,https://www.symantec.com/blogs/threat-intelligence/elfin-apt33-espionage,"FireEye, Dragos, Symantec, McAfee",APT 33
Targeting of Ethiopian dissidents,12/6/2017,,"A threat actor targeted Ethiopian dissidents for the purpose of espionage, using commercially available spyware sold by Cyberbit, an Israel-based company. Cyberbit is also believed to have tried to sell its spyware to law enforcement and national security organizations in the Philippines, Thailand, Uzbekistan, and Zambia.",,Ethiopian dissidents,Ethiopia,Civil Espionage,Civil society,https://citizenlab.ca/2017/12/champing-cyberbit-ethiopian-dissidents-targeted-commercial-spyware/,https://arstechnica.com/tech-policy/2017/12/exposed-ethiopias-nefarious-comically-bungled-spyware-campaign/,,CitizenLab,
Targeting of a Swiss federal agency,9/15/2017,Believed to be the work of Turla,"A threat actor targeted servers controlled by the Swiss Federal Department of Defense, Civil Protection, and Sports.",Denouncement   https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-68135.html,Switzerland,Russian Federation,Political Espionage,Government,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-68135.html,https://www.reuters.com/article/swiss-cyber-attacks/swiss-defence-ministry-foils-cyber-attack-idUSL5N1LW3VQ,,Unknown,Turla
Bad Rabbit,10/24/2017,Believed to be the work of??APT 28,"Using a tool called Bad Rabbit, a threat actor launched a ransomware operation that encrypted data on networks in Bulgaria, Japan, Russia, Turkey, and Ukraine. The operation is believed to have disrupted the Kiev metro system's payment network and delayed flights at Odessa's airport. In October 2018, the United Kingdom attributed this incident to Russian military intelligence.",,"Ukraine, Japan, Russia, Bulgaria, Turkey",Russian Federation,Sabotage,Government,https://securelist.com/bad-rabbit-ransomware/82851/,https://www.symantec.com/connect/blogs/badrabbit-new-strain-ransomware-hits-russia-and-ukraine,https://www.reuters.com/article/us-ukraine-cyber/new-wave-of-cyber-attacks-hits-russia-other-nations-idUSKBN1CT21F,"Kaspersky, Symantec, ESET, NCSC, ACSC, GCSB",APT 28
MuddyWater,11/14/2017,Also known as TEMP.Zagros and Seedworm.??,"This threat actor targets governments, primarily in the Middle East and South Asia, for espionage purposes.",,"Saudi Arabia, Iraq, United Arab Emirates, Georgia, Israel, Pakistan, Turkey, India, United States",Iran (Islamic Republic of),Political Espionage,Government,https://researchcenter.paloaltonetworks.com/2017/11/unit42-muddying-the-water-targeted-attacks-in-the-middle-east/,https://www.reuters.com/article/us-saudi-cyber/saudi-agency-says-country-targeted-in-cyber-spying-campaign-idUSKBN1DK27M,https://reaqta.com/2017/11/muddywater-apt-targeting-middle-east/,"Palo Alto Networks,  National Cyber Security Center, REAQTA, FireEye",MuddyWater
Targeting of certain individuals in Panama,6/20/2017,,"A threat actor targeted individuals who were political critics and business rivals of Ricardo Martinelli, president of Panama between 2009 and 2014, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",,Panama,Panama,Civil Espionage,"Civil society, Private sector",https://www.nytimes.com/2017/06/20/world/americas/former-president-of-panama-fights-extradition-in-miami-court.html,https://www.univision.com/univision-news/latin-america/exclusive-panamas-ex-president-wiretapped-americans-according-to-court-documents,,DoJ,malware by NSO group
Compromise of the International Association of Athletics Federations,4/3/2017,Believed to be the work of APT 28.??,"A threat actor compromises the networks of the International Association of Athletics Federations with the purpose of obtaining the medical records of athletes.??In October 2018, the United States indicted seven alleged Russian military intelligence officials involved in the incident.",Denouncement   http://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM,International Association of Athletics Federations,Russian Federation,Misc Espionage,Civil society,http://www.reuters.com/article/us-sport-doping-iaaf-idUSKBN1750ZM,https://www.iaaf.org/news/press-release/iaaf-cyber-attack,,Context Information Security,APT 28
Compromise of email accounts of a UK TV station,3/30/2017,Believed to be the work of??APT 28,"A threat actor compromised Islam Channel, a small UK TV station, in July 2015. In October 2018, the United Kingdom publicly attributed??the compromise to Russian military intelligence.",Denouncement   https://www.ncsc.gov.uk/news/reckless-campaign-cyber-attacks-russian-military-intelligence-service-exposed,Islam Channel,Russian Federation,Misc Espionage,Private sector,https://www.secureworks.com/research/iron-twilight-supports-active-measures,https://www.ft.com/content/c35aaea2-c8b5-11e8-ba8f-ee390057b8c9,https://www.ncsc.gov.uk/news/reckless-campaign-cyber-attacks-russian-military-intelligence-service-exposed,"Secureworks, NCSC, CSE, ACSC, GCSB",APT 28
Compromise of Far Eastern International Bank,10/7/2017,Believed to be the work of the Lazarus Group,"A threat actor compromised the networks of Far Eastern International Bank in Taiwan, allowing them to transfer US$60 million to accounts based in the United States, Cambodia, and Sri Lanka using the SWIFT network.",,Far Eastern International Bank,Korea (Democratic People's Republic of),Sabotage,Private sector,http://focustaiwan.tw/search/201710070007.aspx?q=Far%20Eastern%20International%20Bank,https://www.reuters.com/article/us-cyber-heist-north-korea-taiwan/north-korea-likely-behind-taiwan-swift-cyber-heist-bae-idUSKBN1CL2VO,https://baesystemsai.blogspot.ca/2017/10/taiwan-heist-lazarus-tools.html,BAE Systems,Lazarus Group
